0.0142819,-0.18319,0.0547926,-2.02201,-0.00908717,1.93841,0.455548
0.0125183,-0.218439,0.0506046,-2.02334,-0.00933413,1.8791,0.520363
0.00829413,-0.252002,0.044908,-2.02411,-0.00949553,1.8214,0.578541
0.00519328,-0.283533,0.034419,-2.02568,-0.00952485,1.77978,0.64479
0.00114723,-0.313647,0.0208663,-2.03097,-0.00952691,1.77363,0.727134
-0.00475806,-0.344101,0.00697363,-2.03909,-0.00966726,1.7736,0.795622
-0.00821228,-0.375078,-0.00777392,-2.0524,-0.0101757,1.77246,0.824683
-0.00942785,-0.407158,-0.0208014,-2.0706,-0.0103634,1.74506,0.827827
-0.00976271,-0.440218,-0.0313022,-2.09194,-0.0103746,1.69702,0.827817
-0.00979631,-0.472964,-0.0391364,-2.11517,-0.0104863,1.6844,0.827819
-0.00983743,-0.506425,-0.0415387,-2.13964,-0.0109627,1.68435,0.827847
-0.00981252,-0.540407,-0.0396706,-2.16654,-0.0112625,1.68431,0.827847
-0.00973954,-0.571393,-0.0356441,-2.19309,-0.011554,1.6843,0.827854
-0.00973208,-0.59474,-0.0312094,-2.21514,-0.0117443,1.68423,0.828352
-0.00973524,-0.60928,-0.0277397,-2.23019,-0.0117779,1.68422,0.828825
-0.00973403,-0.615253,-0.0269461,-2.23802,-0.011766,1.68422,0.829166
-0.00974287,-0.614251,-0.0270529,-2.23961,-0.0117495,1.68423,0.829202
-0.009752,-0.612812,-0.0273581,-2.23962,-0.0117391,1.68425,0.829196
-0.00977588,-0.612767,-0.0279735,-2.23962,-0.0117002,1.68429,0.829178
-0.00974354,-0.612787,-0.0278967,-2.23962,-0.0116823,1.6843,0.829157
-0.00971996,-0.612766,-0.0278721,-2.23962,-0.0116813,1.68431,0.829145
-0.00972691,-0.612778,-0.0278928,-2.23961,-0.0116762,1.68432,0.829135
-0.00972473,-0.612786,-0.0278799,-2.23961,-0.0116769,1.68431,0.829137
-0.0097254,-0.612793,-0.0278762,-2.2396,-0.0116775,1.68431,0.829134
-0.00972878,-0.612789,-0.0278781,-2.2396,-0.0116762,1.68431,0.829135
-0.00972541,-0.612793,-0.0278759,-2.2396,-0.0116773,1.68431,0.829135
-0.00972304,-0.612793,-0.0278748,-2.2396,-0.0116733,1.68431,0.829132
-0.00972665,-0.612791,-0.0278745,-2.2396,-0.0116733,1.68431,0.829135
-0.00972501,-0.612791,-0.0278761,-2.2396,-0.0116721,1.68431,0.829132
-0.00972689,-0.612793,-0.0278783,-2.2396,-0.0116733,1.68431,0.829132
-0.00972305,-0.61279,-0.0278777,-2.2396,-0.0116739,1.68432,0.829138
-0.0097247,-0.612791,-0.0278765,-2.2396,-0.0116727,1.68431,0.829131
-0.0097247,-0.612791,-0.0278755,-2.2396,-0.0116727,1.68431,0.829135
-0.00972303,-0.612793,-0.0278762,-2.2396,-0.0116733,1.68431,0.829133
