1986.40	-144.56	4630.58
2820.18	-304.85	5083.48
4339.53	-261.44	5079.72
6011.76	-164.55	4453.36
7377.63	-410.78	3141.39
8063.21	-1448.46	1900.58
8064.30	-3027.56	1010.62
7574.46	-4781.56	574.58
7075.80	-6097.49	509.09
6845.97	-6429.99	451.65
6812.77	-5683.37	91.63
6808.62	-4139.25	-583.30
6373.42	-2654.05	-1263.73
5380.38	-1568.10	-1631.66
4130.32	-1263.89	-1782.38
3045.84	-1604.92	-1821.20
2474.38	-2470.91	-1759.81
2368.05	-3482.61	-1703.05
2835.71	-4467.06	-1586.86
3838.36	-5248.40	-1389.87
5111.99	-5676.22	-1185.47
6478.19	-5500.08	-1003.64
7538.14	-4554.87	-820.48
7943.08	-3165.36	-562.10
7708.47	-2031.24	-419.66
7012.17	-996.78	-333.17
6049.39	-192.11	-288.35
4962.48	244.70	-360.31
3539.94	67.36	-607.45
2562.68	-903.43	-1011.29
2260.73	-2314.10	-1350.31
2650.75	-3752.27	-1447.17
3287.97	-5033.44	-1396.29
4635.08	-6023.71	-1259.20
5658.67	-5753.36	-1189.72
6637.93	-4845.79	-1124.50
7498.04	-3586.37	-942.13
8149.26	-2130.18	-449.51
8249.28	-803.17	306.58
7580.34	282.55	974.41
6322.65	1050.07	1484.92
4774.31	1532.84	1833.63
3242.98	1582.02	2149.59
2130.30	1310.85	2474.15
1431.15	827.32	2924.21
1048.89	366.25	3504.32
832.14	-27.28	4085.74
734.88	-225.53	4261.86
633.54	-554.43	4322.63
551.03	-951.77	4341.38
647.04	-1664.12	4555.40
922.13	-2465.88	4937.32
1449.60	-3009.80	5443.98
2180.36	-3216.71	5835.58
3065.60	-3100.55	6103.30
3827.07	-2527.03	6176.53
4462.05	-1846.58	5962.05
4784.69	-1041.35	5518.85
4669.02	0.10	4682.01
3889.84	655.85	3823.49
2914.61	799.63	3313.33
1919.12	517.01	3130.11
1011.47	-355.21	3400.69
704.33	-1412.13	4124.38
1039.49	-2169.05	4986.22
1927.90	-2466.60	5673.98
3273.42	-2347.87	6079.68
4808.74	-1933.38	6123.44
6372.08	-1531.94	5805.05
7725.56	-1203.14	5056.42
8626.05	-1025.27	3986.59
9030.50	-883.58	2743.25
8927.40	-644.96	1486.29
8392.02	-381.54	345.17
7717.75	-240.52	-377.74
6683.53	-235.24	-1084.04
5766.49	-667.41	-1579.79
5262.04	-1447.07	-1900.93
5302.08	-2160.81	-2000.64
5644.49	-2860.59	-1994.94
6241.16	-3411.34	-1889.51
7002.89	-3559.75	-1632.21
7703.25	-3366.27	-1301.58
8108.42	-2699.07	-851.57
8134.95	-1490.48	-286.81
7719.87	-536.49	118.58
6977.94	320.04	466.41
6053.86	958.82	659.30
5008.75	1228.88	653.77
3638.28	1175.77	396.17
2676.13	660.15	-161.79
2145.93	-48.26	-753.64
2085.15	-1171.95	-1149.64
2424.63	-2339.78	-1400.58
3102.59	-3372.59	-1596.95
4029.80	-4169.26	-1709.92
5114.00	-4367.22	-1759.79
6249.51	-3703.28	-1662.82
7115.46	-2736.66	-1661.23
7357.17	-2084.97	-1642.46
6881.41	-2088.43	-1621.41
5846.73	-2521.91	-1714.09
4390.57	-3055.14	-1780.16
2952.84	-3436.23	-1754.26
1876.04	-3399.89	-1546.14
1312.25	-2832.09	-1293.33
1108.39	-2068.15	-1096.59
996.17	-1466.71	-833.11
906.50	-1183.70	-477.32
724.21	-1085.98	29.52
436.85	-1174.74	587.78
131.39	-1477.63	1228.32
-117.57	-2313.05	2022.54
36.50	-3494.06	2575.22
805.44	-4850.68	2890.76
1871.40	-5678.62	3094.14
3183.68	-6313.38	3083.03
4693.74	-6431.13	3014.77
6174.00	-5941.64	2929.60
7617.21	-4541.96	2666.59
7945.71	-2661.44	2376.15
6776.55	-513.30	2285.86
4885.77	441.71	2612.97
2807.51	442.44	2959.01
1143.84	-302.30	2952.03
177.08	-1283.65	2541.92
-85.77	-2105.60	1712.01
257.48	-2698.06	868.73
968.00	-3028.41	33.12
2069.63	-3139.85	-615.03
3909.99	-2935.38	-909.70
5721.76	-2512.40	-283.78
7077.99	-1964.32	1025.70
7302.61	-1659.92	2361.99
6507.11	-1616.05	3969.21
4929.02	-2211.95	4919.18
3040.73	-2960.74	5016.94
1397.76	-3283.20	4354.70
275.65	-2991.63	3476.46
-102.20	-2218.62	2780.43
-38.88	-1479.48	2471.63
231.21	-519.27	2302.39
593.74	201.89	2302.74
1048.94	641.46	2688.94
1686.78	688.11	3461.64
2346.99	325.78	4376.34
3072.31	-401.72	5305.53
3826.46	-1324.61	6090.66
4404.01	-2214.77	6612.50
4482.52	-2856.47	6775.13
3979.62	-3204.98	6557.73
2897.03	-2969.17	5805.42
1974.24	-2373.43	4874.76
1079.59	-1709.67	3680.09
594.93	-925.81	2101.15
715.08	-792.13	966.50
1079.88	-1201.03	42.54
1794.24	-1962.17	-758.79
2650.71	-2649.94	-1159.87
3740.11	-3337.93	-1271.88
4924.19	-3948.15	-923.49
5951.49	-4268.28	-76.26
6456.43	-4459.02	1063.58
6248.68	-4437.71	2725.39
4918.16	-4097.35	4069.11
